V1,gene,logfoldchanges,pvals,pvals_adj,neg_log_pvals,point_color,regulation,label
268,SLC30A7,0.57664144,3.77603287699559e-45,3.46296542392105e-43,42.4605518446548,black,NS,
269,TMEM176B,0.8409516,3.94504493002976e-45,3.6097608393778e-43,42.442521570831,black,NS,
270,IVNS1ABP,0.80737424,5.83817201490338e-45,5.31787623353005e-43,42.2742617745111,black,NS,
271,TOR1AIP2,0.6540224,6.90422071440844e-45,6.27475482585156e-43,42.2024032387489,black,NS,
272,NR6A1,0.74605423,8.78630238391615e-45,7.94943663219248e-43,42.099663648224,black,NS,
273,LDHA,0.62221014,1.06077487553357e-44,9.5545508431988e-43,42.019789724193,black,NS,
274,SNX8,1.2574843,2.69485321858928e-44,2.41650482392255e-42,41.6168123335684,red,Up,
275,EEF2,0.4719553,2.74258731699182e-44,2.45385550809876e-42,41.6101510136884,black,NS,
276,LINC01169,2.491211,3.38206024107263e-44,3.01931183291511e-42,41.5200920309581,red,Up,
277,CBX6,0.7434018,8.84826814119137e-44,7.86443427386243e-42,41.1043325127834,black,NS,
